text,labels
sty out saya setuju usulan ini saya rinci alasannya thread,neutral
dipecat pssi sty join psht,negative
dari kasus sty kita belajar mau serajin apapun semenyenangkan apapun seberpeestasi apapun mau disukai peer mau gendong tim sendirian kalau atasan ga suka ya tetap akan diganti dengan orang yang atasan suka relate kan,negative
sty tidak dipecat blio hanya dirotasi menjadi kalemkonprofpol waketbidkermadianmas,neutral
liat noh sty di tempat kerjanya udah dianggep kayak keluarga aja masih tetep bisa dipecat kerja mah biasa aja dah,negative
resmi shin taeyong konfirmasi dirinya perpanjang kontrak hingga tahun sty stay,neutral
apa yang terjadi pada sty ini seringkali juga terjadi pada hidup meski sudah memberikan yang terbaik dan berjuang sejauh yang dirasa mampu pada akhirnya mesti berserah pada halhal besar yang ada di luar kuasa,positive
pemain timnas indonesia berlari ke kamar coach sty merayakan lolosnya timnas ke babak besar im in tears now,neutral
pemecatan sty lebih bikin sedih daripada semua drama korea yang pernah gua tonton,negative
a thread how impactful coach sty is in their life,neutral
kak ci sty resmi grad guys terimakasihsty,neutral
kapan dimasukin yg ini pak sty,negative
no more sty entertainment jokes,neutral
sampai sekarang masih gak percaya bahwa coach sty pernah bicara di podcast close the door alasan beliau memilih timnas indonesia dibandingkan tawaran menggiurkan dari klub liga korsel atau liga china sty berujar bahwa setiap individu harus punya citacita amp masa,positive
ingat cuma di era sty timnas indonesia bisa berlisensi resmi di efootball sesuatu yang kita anggap mustahil di masa lalu,negative
gtsty dipecat gterick thohir hire kuch eropah menuruti keinginan segelintir netijen gtkuch eropa gatot gtkepercayaan masy kpd erick thohir turun gt ga jadi apaapa absolute sinema,negative
sty dipecat tu rasanya kaya pacaran lagi angetnya terus diputusin,negative
sty nemenin dr minus diputusin entah apa alasannya trs ga sampe sehari udah keleak penggantinya yg kalo diintip cv ngelatihnya aja bikin mau ngeremes takoyaki rasanya entah lah,negative
sty nol piala di indo rekrut pelatih nol piala sepanjang karier kalau mau pildun pelatih kudu diupgrade rekrut yang belum pernah pildun sty miskin taktik rekrut pelatih yang pas di curacao pake taktik play and inshallah sehatsehat deh tahun ini,negative
sty be like tak gemateni ngancani sliramu pas kowe lagi keloroloro,negative
bismillah pengganti sty,neutral
pssi pelatih baru akan diumumkan pada januari sty,neutral
marselino memposting ulang sebuah momen bareng sty seperti mengisyaratkan jika semua pemain tetap menginginkan sty untuk melatih mereka,neutral
kita tidak hanya kehilangan sty tapi staff pelatih yg dekat sama pemain juga gak akan kita lihat lagi,negative
sgt rock gi robot and easy company luca guadagnino s about to cook with his sgt rock film in the dcu starring daniel craig,neutral
coach sty boleh latih tim mana pun asal jangan dik malay dik vietnam sama emyu,neutral
sty to pssi,neutral
even sty get layoff in this economy we re goddamn cooked,neutral
tetap percaya sty stystay,positive
